Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2006","2006","1000 No","71275.76","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2007","2007","1000 No","72319.418","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 No","73318.394","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 No","74322.685","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","75373.855","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","76342.971","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","77324.451","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","78458.928","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","79961.672","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","81790.841","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","83306.231","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","84505.076","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","85617.562","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","86564.202","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","87290.193","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","87923.432","X","Figure from international organizations",""
