Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1981","1981","1000 ha","13550","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1981","1981","1000 ha","730","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1981","1981","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1982","1982","1000 ha","14141","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1982","1982","1000 ha","726","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1982","1982","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1983","1983","1000 ha","14400","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1983","1983","1000 ha","810","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1983","1983","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1984","1984","1000 ha","14650","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1984","1984","1000 ha","890","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1984","1984","1000 ha","44000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1985","1985","1000 ha","14900","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1985","1985","1000 ha","970","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1985","1985","1000 ha","44500","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1986","1986","1000 ha","15150","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1986","1986","1000 ha","1050","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1986","1986","1000 ha","44500","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1987","1987","1000 ha","15400","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1987","1987","1000 ha","1130","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1987","1987","1000 ha","44500","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1988","1988","1000 ha","15580","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1988","1988","1000 ha","1291","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1988","1988","1000 ha","45000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1989","1989","1000 ha","15400","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1989","1989","1000 ha","1300","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1989","1989","1000 ha","45000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1990","1990","1000 ha","15190","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1990","1990","1000 ha","1310","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1990","1990","1000 ha","45000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1991","1991","1000 ha","16681","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1991","1991","1000 ha","1316","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1991","1991","1000 ha","45000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1992","1992","1000 ha","16969","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1992","1992","1000 ha","1318","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1992","1992","1000 ha","45500","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1993","1993","1000 ha","17332","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1993","1993","1000 ha","1320","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1993","1993","1000 ha","45500","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1994","1994","1000 ha","17337","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1994","1994","1000 ha","1320","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1994","1994","1000 ha","45500","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1995","1995","1000 ha","17388","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1995","1995","1000 ha","1320","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1995","1995","1000 ha","45500","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1996","1996","1000 ha","17097","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1996","1996","1000 ha","1330","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1996","1996","1000 ha","46000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1997","1997","1000 ha","16502","A","Official figure"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6650","Permanent crops","1997","1997","1000 ha","1330","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6655","Permanent meadows and pastures","1997","1997","1000 ha","46000","I","Imputed value"
"RL","Land Use","102","Iran (Islamic Republic of)","5110","Area","6621","Arable land","1998","1998","1000 ha","16837","A","Official figure"
